#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Nov 30 18:19:57 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       SB_PLMA_ARITHMETIC_map.ncd
#OUTPUT FILE:      SB_PLMA_ARITHMETIC_pad.csv
#PART TYPE:        xc3s200
#SPEED GRADE:      -4
#PACKAGE:          pq208
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,GND,,,,,,,,,,,,
P2,,DIFFM,IO_L01P_7/VRN_7,UNUSED,,7,,,,,,,,,
P3,,DIFFS,IO_L01N_7/VRP_7,UNUSED,,7,,,,,,,,,
P4,cnt<1>,IOB,IO_L16P_7/VREF_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P5,a<28>,IOB,IO_L16N_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P6,,,VCCO_7,,,7,,,,,2.50,,,,
P7,b<24>,IOB,IO_L19P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P8,,,GND,,,,,,,,,,,,
P9,b<30>,IOB,IO_L19N_7/VREF_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P10,b<29>,IOB,IO_L20P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P11,b<23>,IOB,IO_L20N_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P12,b<28>,IOB,IO_L21P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P13,b<25>,IOB,IO_L21N_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P14,,,GND,,,,,,,,,,,,
P15,b<4>,IOB,IO_L22P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P16,b<27>,IOB,IO_L22N_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P17,,,VCCAUX,,,,,,,,2.5,,,,
P18,b<2>,IOB,IO_L23P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P19,b<26>,IOB,IO_L23N_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P20,b<10>,IOB,IO_L24P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P21,b<13>,IOB,IO_L24N_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P22,b<19>,IOB,IO_L39P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P23,,,VCCO_7,,,7,,,,,2.50,,,,
P24,b<9>,IOB,IO_L39N_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P25,,,GND,,,,,,,,,,,,
P26,b<31>,IOB,IO_L40P_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P27,b<8>,IOB,IO_L40N_7/VREF_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P28,b<12>,IOB,IO_L40P_6/VREF_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
P29,b<1>,IOB,IO_L40N_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
P30,,,GND,,,,,,,,,,,,
P31,cnt<0>,IOB,IO_L39P_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
P32,,,VCCO_6,,,6,,,,,2.50,,,,
P33,,DIFFS,IO_L39N_6,UNUSED,,6,,,,,,,,,
P34,,DIFFM,IO_L24P_6,UNUSED,,6,,,,,,,,,
P35,,DIFFS,IO_L24N_6/VREF_6,UNUSED,,6,,,,,,,,,
P36,b<5>,IOB,IO_L23P_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
P37,,DIFFS,IO_L23N_6,UNUSED,,6,,,,,,,,,
P38,,,VCCAUX,,,,,,,,2.5,,,,
P39,,DIFFM,IO_L22P_6,UNUSED,,6,,,,,,,,,
P40,,DIFFS,IO_L22N_6,UNUSED,,6,,,,,,,,,
P41,,,GND,,,,,,,,,,,,
P42,,DIFFM,IO_L21P_6,UNUSED,,6,,,,,,,,,
P43,,DIFFS,IO_L21N_6,UNUSED,,6,,,,,,,,,
P44,,DIFFM,IO_L20P_6,UNUSED,,6,,,,,,,,,
P45,,DIFFS,IO_L20N_6,UNUSED,,6,,,,,,,,,
P46,,DIFFM,IO_L19P_6,UNUSED,,6,,,,,,,,,
P47,,,GND,,,,,,,,,,,,
P48,,DIFFS,IO_L19N_6,UNUSED,,6,,,,,,,,,
P49,,,VCCO_6,,,6,,,,,2.50,,,,
P50,,DIFFM,IO/VREF_6,UNUSED,,6,,,,,,,,,
P51,,DIFFM,IO_L01P_6/VRN_6,UNUSED,,6,,,,,,,,,
P52,,DIFFS,IO_L01N_6/VRP_6,UNUSED,,6,,,,,,,,,
P53,,,GND,,,,,,,,,,,,
P54,,,M1,,,,,,,,,,,,
P55,,,M0,,,,,,,,,,,,
P56,,,M2,,,,,,,,,,,,
P57,,DIFFM,IO_L01P_5/CS_B,UNUSED,,5,,,,,,,,,
